,movie_link,title,description,genres,date_released
5769,m/drive_hard,Drive Hard,A driving instructor (Thomas Jane) who used to race autos is forced to drive a getaway car for a thief (John Cusack) who plans to steal $9 million.,"Action & Adventure, Art House & International, Comedy, Special Interest",2014-10-03
5600,m/dog_soldiers,Dog Soldiers,"During a routine nighttime training mission in the Scottish Highlands, a small squad of British soldiers expected to rendezvous with a special ops unit instead find a bloody massacre with a sole survivor. The savage attackers of the special ops team return, and the men are rescued by Megan (Emma Cleasby), a zoologist who identifies what hunts them as werewolves. Without transport or communications, the group is forced to retreat to a farmhouse to wait for the full moon to disappear at dawn.",Horror,2002-07-20
5256,m/dead_hooker_in_a_trunk,Dead Hooker in a Trunk,Four friends set out on an errand and find a body in their trunk.,"Action & Adventure, Art House & International, Documentary, Horror",2009-12-31
259,m/10011846-nobodys_perfect,NoBody's Perfect,A man tries to organize a nude photo shoot of people affected by the toxic drug Thalidomide.,"Art House & International, Documentary, Drama, Special Interest, Sports & Fitness",2008-09-08
13119,m/sgt-peppers-lonely-hearts-club-band,Sgt. Pepper's Lonely Hearts Club Band,"This musical, set to late-period Beatles hits, recounts the story of Sgt. Pepper's famed musical group, which found success during World War I bringing music to weary soldiers in the field. The band's leader has since died and now it's up to his grandson, Billy Shears (Peter Frampton), to carry on the group's traditions. To this end, he recruits the Henderson brothers (Barry Gibb, Robin Gibb, Maurice Gibb) to help him defend the group's magic instruments from nefarious crook B.D. Hoffler.","Action & Adventure, Comedy, Kids & Family, Musical & Performing Arts",1978-01-01
9237,m/last_castle,The Last Castle,"A three-star general (Robert Redford) is court-martialed and sentenced to a military maximum security prison, The Castle. Inside, he finds corruption and murder -- and he rallies the 1,200 inmates to revolt against the corrupt warden (James Gandolfini) and his guards.","Action & Adventure, Drama, Mystery & Suspense",2001-10-19
395,m/1005381-days_of_wine_and_roses,Days of Wine and Roses,"Joe Clay (Jack Lemmon) is a rising young public relations executive when he meets Kirsten Arnesen (Lee Remick), a pretty secretary, at a business party. Joe and Kirsten are both ambitious, and they are on the road to success when they fall in love and marry. Soon after, however, Joe coaxes Kirsten to begin drinking with him on a regular basis. Eventually, they are both dependent on alcohol. Their marriage deteriorates, and their lives spiral into disaster, as a result.","Classics, Drama",1962-12-26
15801,m/the_short_history_of_the_long_road,The Short History of the Long Road,A teenager has to confront the reality of life on the road after tragedy strikes.,Drama,2020-06-12
13584,m/song_of_the_sea_2014,Song Of The Sea,An Irish youth (David Rawle) discovers that his mute sister is a selkie who must find her voice and free supernatural creatures from the spell of a Celtic goddess (Fionnula Flanagan).,"Animation, Kids & Family, Science Fiction & Fantasy",2014-12-19
12583,m/river_runs_through_it,A River Runs Through It,"The Maclean brothers, Paul (Brad Pitt) and Norman (Craig Sheffer), live a relatively idyllic life in rural Montana, spending much of their time fly fishing. The sons of a minister (Tom Skerritt), the boys eventually part company when Norman moves east to attend college, leaving his rebellious brother to find trouble back home. When Norman finally returns, the siblings resume their fishing outings, and assess both where they've been and where they're going.",Drama,1992-10-09
12472,m/return_of_swamp_thing,The Return of Swamp Thing,A mad scientist's (Louis Jourdan) vegetarian stepdaughter (Heather Locklear) falls in love with one of his leafy failures.,"Action & Adventure, Comedy, Horror, Science Fiction & Fantasy",1989-05-12
9213,m/land_of_mine,Land of Mine (Under Sandet),A group of German POWs are forced to dig up millions of land mines with their bare hands.,"Art House & International, Drama",2017-02-10
2232,m/a_thousand_years_of_good_prayers,A Thousand Years of Good Prayers,"In the wake of his wife's death, Shi (Henry O) leaves his native China to find his estranged daughter, Yilan (Faye Yu), in the United States. There, Shi befriends Madam (Vida Ghahremani), an Arab-American mother who can relate to his feelings of isolation and culture shock. After having an awkward reunion with Yilan, Shi realizes just how far apart they've grown from each other. And though he can barely speak English, Shi decides to stay permanently, hoping to mend their broken relationship.","Art House & International, Drama, Romance",2008-09-19
2436,m/aidas_secrets,Aida's Secrets,"In 1945, Izak was born inside the Bergen-Belsen displaced persons camp and sent for adoption in Israel. Secret details of his birth mother, an unknown brother in Canada and his father's true identity slowly emerge in this investigative, biographical film. The plight of displaced persons come to the fore when Izak and Shep -- the almost 70-year-old brothers -- finally meet in Canada, then head to a nursing home in Quebec to introduce Shep to his elderly mother, Aida, for the first time.",Documentary,2017-10-20
3813,m/blue_valentine,Blue Valentine,"Dean (Ryan Gosling) and Cindy (Michelle Williams) live a quiet life in a modest neighborhood. To the casual observer, everything appears normal, if a bit subdued. But a closer examination reveals a couple caught in a downward spiral. They appear to have the world at their feet at the outset of the relationship. However, his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage.","Drama, Romance",2010-12-29
11278,m/official_secrets,Official Secrets,"One day in 2003, in the lead up to the Iraq War, British intelligence specialist Katharine Gun receives a memo from the NSA with a shocking directive: the United States is enlisting Britain's help in collecting compromising information on U.N. Security Council members to blackmail them into voting in favor of an invasion of Iraq. Unable to stand by and watch the world be rushed into war, Gun makes the gut-wrenching decision to defy her government and leak the memo to the press.",Drama,2019-08-30
14798,m/the_day_the_earth_caught_fire,The Day the Earth Caught Fire,"Peter Stenning (Edward Judd) is a depressed British reporter who gets by with the help of his friend, veteran journalist Bill Maguire (Leo McKern). Along with weather forecaster Jeannie Craig (Janet Munro), Peter and Bill discover that simultaneous U.S. and Russian nuclear explosions have drastically altered the earth's rotation. Fires and earthquakes ravage cities all over the world, and chaos and sickness descend upon the frightened survivors as they try to put the planet back on its axis.","Drama, Science Fiction & Fantasy, Romance",1962-03-15
13901,m/stink,Stink!,Filmmaker Jon J. Whelan examines how dangerous chemicals in American products pose a health risk to consumers.,Documentary,2015-11-27
3197,m/barking_water,Barking Water,"Hoping to see his daughter and grandchild, a terminally ill man (Richard Ray Whitman) embarks on a road trip with his former lover (Casey Camp-Horinek).",Drama,2009-01-17
15987,m/the_virginity_hit_2010,The Virginity Hit,"Obsessed with the YouTube Web site, four New Orleans teens make a pact to lose their virginity, document the experience, and take a celebratory hit on their female-shaped bong. After his three buddies accomplish their goal in rapid succession, Matt (Matt Bennett) hopes to do the deed with his girlfriend. When his efforts fall through, Matt embarks on a furious quest to cash in his V-card, shadowed at every turn by his camera-wielding adoptive brother, Zack (Zack Pearlman).",Comedy,2010-09-10
11945,m/police_story_2,Police Story 2 (Ging chaat goo si juk jaap) (Police Force II),Villains kidnap a Hong Kong policeman's (Jackie Chan) girlfriend (Maggie Cheung) as he investigates a bombing/extortion scheme.,"Action & Adventure, Art House & International, Comedy",1988-08-20
15109,m/the_happy_house,The Happy House,"A feuding couple encounter one disaster after another at a remote bed-and-breakfast inn. Things go from bizarre to terrifying as they contend with the establishment's crazy owner, her imposing son, and more.","Comedy, Horror",2013-05-03
3493,m/beyond_skyline_2017,Beyond Skyline,"Detective Mark Corley storms his way onto an alien spaceship to rescue his estranged son. When the ship crashes in Southeast Asia, he forges an alliance with a band of survivors to take back the planet once and for all.","Action & Adventure, Drama, Science Fiction & Fantasy",2017-12-15
1304,m/1099999-beowulf,Beowulf,"When warrior Beowulf (Christopher Lambert) learns that the inhabitants of the Outpost are being killed by a monstrous creature named Grendel, he offers to help the king, Hrothgar (Oliver Cotton), fight off the beast. The beleaguered fighters are grateful for his help, but a warrior named Roland (Gotz Otto) grows jealous of Beowulf when he sees him with the king's daughter (Rhona Mitra). As Beowulf learns more about Grendel, he realizes how much danger they all are in.","Action & Adventure, Art House & International, Science Fiction & Fantasy",1999-04-01
5907,m/education_of_charlie_banks,The Education of Charlie Banks,"Charlie Banks (Jesse Eisenberg) and his best friend, Danny (Chris Marquette), attend college at an elite school in upstate New York. Charlie's world comes crashing down with the unexpected arrival of Mick (Jason Ritter), a bully from high school. As Mick worms his way into Charlie's life and the lives of his friends, Charlie begins to fear the worst: that Mick may be planning revenge for an incident from their shared past.","Art House & International, Drama",2009-03-27
10461,m/miss_julie_2014,Miss Julie,A baron's frustrated daughter (Jessica Chastain) courts scandal and more when she tries to seduce her father's valet (Colin Farrell).,Drama,2014-12-05
8541,m/itzhak,Itzhak,The life and music of Israeli conductor and musician Itzhak Perlman.,Documentary,2018-03-09
9982,m/make_your_move_2013,Make Your Move,Star-crossed lovers become embroiled in the bitter rivalry between their brothers' underground dance clubs.,"Drama, Musical & Performing Arts",2014-04-18
10686,m/mr_saturday_night,Mr. Saturday Night,"Given his success in the early days of television, you'd think that Buddy Young Jr. (Billy Crystal) would be coasting happily into retirement alongside his wife, Elaine (Julie Warner). Instead, Buddy is an acerbic blowhard who alienates his brother, Stan (David Paymer), and everyone else who fails to bow to his bullying. His agent, Annie Wells (Helen Hunt), has positioned elderly Buddy for a big movie role, but his irreverence might come back to bite him one last time.","Comedy, Drama",1992-09-23
8831,m/just_45_minutes_from_broadway_2012,Just 45 Minutes From Broadway,Old family secrets come to light during a family gathering to meet the fiance of the older of two sisters.,"Comedy, Drama, Special Interest",2012-10-03
9036,m/kink_2014,Kink,Filmmaker Christina Voros explores the world of sexual bondage and domination through the experiences of five workers at Kink.com.,"Documentary, Special Interest",2014-08-22
2186,m/a_perfect_day,A Perfect Day,"Aid workers (Benicio Del Toro, Tim Robbins, Olga Kurylenko) in the Balkans try to retrieve a man's body from a well before it contaminates the water for nearby villagers.","Art House & International, Drama",2016-01-15
11673,m/patriocracy,Patriocracy,"Former Wyoming Sen. Alan Simpson, Bob Schieffer, Eleanor Clift and others discuss America's political divide and how it has harmed the country.","Documentary, Special Interest",2012-03-02
6831,m/funny_bones,Funny Bones,"After he bombs horribly in front of an influential Las Vegas audience that includes his comedy legend father (Jerry Lewis), aspiring comedian Tommy Fawkes (Oliver Platt) returns to his childhood home of Blackpool, England, to find an unknown young comedian whose act he can take over. There, he meets Katie Parker (Leslie Caron), a singer who was friends with his parents in their youth. Her son, Jack (Lee Evans), is an erratically brilliant comedian who holds a secret about Tommy's father.","Comedy, Drama",1995-03-31
6791,m/from_paris_with_love,From Paris with Love,"James Reese (Jonathan Rhys Meyers) has a good job as an ambassador's aid in France, but his real passion is a side gig, working in a minor role in the CIA. He would love to be a full-fledged agent and can't believe his luck when he lands an assignment with Charlie Wax (John Travolta). Trigger-happy Charlie soon has James crying for his desk job, but when he learns that the same guys they're trying to catch are after him, James realizes that Charlie may be his only hope of survival.",Action & Adventure,2010-02-05
1581,m/1175374-fail_safe,Fail Safe,"During the 1960s, a computer error in Nebraska unwittingly sets off a perilous chain of events leading to a Cold War crisis. The computer sends an order to a squadron piloted by Col. Jack Grady (George Clooney) to drop a bomb on Moscow. Despite the efforts of the president (Richard Dreyfuss) to negate the false order, the crew forges on with what they think is their task. The president and his translator (Noah Wyle) are forced to reach out to the Russian leader to negotiate.","Action & Adventure, Drama, Mystery & Suspense, Television",2000-04-09
14294,m/teddy_bear_2012,Teddy Bear,A 38-year-old bodybuilder takes a trip to Thailand to find a woman to marry.,Drama,2012-08-22
4952,m/crazy_horse_2010,Crazy Horse,A look inside the greatest and most chic nude dancing hall in the world.,"Documentary, Special Interest",2012-01-18
17558,m/x_men_apocalypse,X-Men: Apocalypse,"Worshiped as a god since the dawn of civilization, the immortal Apocalypse (Oscar Isaac) becomes the first and most powerful mutant. Awakening after thousands of years, he recruits the disheartened Magneto (Michael Fassbender) and other mutants to create a new world order. As the fate of the Earth hangs in the balance, Professor X (James McAvoy) and Raven (Jennifer Lawrence) lead a team of young X-Men to stop their seemingly invincible nemesis from destroying mankind.","Action & Adventure, Science Fiction & Fantasy",2016-05-27
11416,m/operation_condor,Operation Condor (Fei ying gai wak) (Armour of God II),An adventurer (Jackie Chan) and his friend (Alan Tam) aid a woman (Rosamund Kwan) kidnapped by cultists seeking a set of armor with mystical powers.,"Action & Adventure, Art House & International, Comedy",1991-02-07
9251,m/last_holiday,Last Holiday,"When ordinary middle-class salesman George Bird (Alec Guinness) is diagnosed with a rare and fatal illness, he decides to spend his few remaining days in luxury. Cashing in his savings, he buys a fancy new wardrobe and poses as a wealthy businessman at a posh seaside resort. Unexpectedly, the dying man's luck begins to change during his holiday, from winning at gambling to establishing friendships with his fellow guests, most notably Sheila Rockingham (Beatrice Campbell).","Classics, Comedy, Drama",1950-11-13
87,m/10008126-straightheads,Straightheads (Closure),"There is instant chemistry between Alice (Gillian Anderson), a businesswoman, and Adam (Danny Dyer), a younger working-class man who installs a security system in her London apartment. She takes him to a party in the country, and they end up making love. But the night turns horrific when they encounter three thugs who maim Adam and rape Alice. The incident turns them into fearful recluses until Alice spots the leader of their attackers (Anthony Calf) -- and the two victims plot a brutal revenge.","Drama, Mystery & Suspense",2007-04-27
103,m/10008617-midnight_meat_train,The Midnight Meat Train,"When struggling photographer Leon Kaufman (Bradley Cooper) meets the owner of a prominent art gallery, he sees a chance for the success that has, so far, eluded him. Determined to show the darker side of humanity for his debut showing, Leon crosses paths with Mahogany (Vinnie Jones) a serial killer who preys on late-night subway commuters. His fascination with Mahogany pulls him -- and his lover (Leslie Bibb) -- deep into an evil abyss.","Drama, Horror, Mystery & Suspense",2008-08-14
6616,m/for_the_bible_tells_me_so,For the Bible Tells Me So,"Delving into values of the religious right and the accompanying homophobia, ""For the Bible Tells Me So"" focuses on how conservative Christians' interpretation of the Bible is commonly used as a way to deny homosexuals equal rights. Following five families with an openly gay son or daughter, director Daniel G. Karslake offers a firsthand look at how those in the Christian community with an out child are affected by the homophobic fervor. Karslake also interviews a number of religious leaders.","Documentary, Special Interest, Faith & Spirituality",2007-10-05
16719,m/unfinished_business_2015,Unfinished Business,"Tired of playing second-fiddle to his obnoxious boss (Sienna Miller), businessman Dan Trunkman (Vince Vaughn) quits and forms his own competing mineral sales firm. He takes a retiring associate (Tom Wilkinson) and a dim-witted sales applicant (Dave Franco) with him. After a year and a half of struggle, a promising deal is in sight -- then promptly folds, thanks to Dan's ex-boss. Determined to save the deal, Dan and company fly to Germany, where a series of outrageous obstacles awaits.",Comedy,2015-03-06
10432,m/miracle_at_st_anna,Miracle at St. Anna,"During World War II, members of the U.S. Army's all-black division are stationed in the Tuscany region of Italy. Four of the soldiers (Derek Luke, Michael Ealy, Laz Alonso, Omar Benson Miller) become trapped behind enemy lines and separated from the rest of their unit after one of them risks his life to save an Italian boy.",Drama,2008-09-07
2291,m/abraham_lincoln_vampire_hunter,Abraham Lincoln: Vampire Hunter,"While still a boy, Abraham Lincoln loses his mother to a vampire's bite. He vows revenge, but fails in the attempt, narrowly escaping with his life. He is rescued by Henry (Dominic Cooper), a charismatic vampire hunter who instructs Abe in the fine art of dispatching bloodsuckers. Abe (Benjamin Walker) continues his fight against the undead well into adulthood and his presidency, making a last stand against the ultimate vampire foe (Rufus Sewell) on the eve of the Civil War's defining battle.","Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",2012-06-22
3588,m/billionaire_boys_club,Billionaire Boys Club,A group of wealthy boys in Los Angeles during the early 1980s establishes a get-rich-quick scam that turns deadly.,"Drama, Mystery & Suspense",2018-08-17
1640,m/1192781-hell_ride,Hell Ride,"The Deuce (David Carradine) and Billy Wings (Vinnie Jones), leaders of an evil biker gang known as the Six-Six-Sixers, murder Cherokee Kisum (Julia Jones), a member of the Victors, over a drug money dispute. Years later, the Deuce and Wings are back in town to settle some old business, and Pistolero (Larry Bishop), Cherokee's old boyfriend, sees this as an opportunity to finally get revenge. He recruits two old friends, Gent (Michael Madsen) and Eddie Zero (Dennis Hopper), for help.","Action & Adventure, Drama, Mystery & Suspense",2008-08-08
13982,m/strings,Strings,"In an alternate puppet world, all marionettes are connected to a higher power by their strings. When one is severed, they lose use of that limb, and, if their head-string is cut, they die. After a guilty king (Julian Glover) commits suicide, his scheming brother (Derek Jacobi) depicts it as a murder by a rebel tribe. Prince Hal (James McAvoy), the heir to the throne, is sent in disguise on a revenge mission, during which he learns of his uncle's plotting and the dark secrets of his own people.","Art House & International, Drama, Kids & Family, Science Fiction & Fantasy, Special Interest",2004-09-30
15813,m/the_sisters_brothers,The Sisters Brothers,"It's 1851, and Charlie and Eli Sisters are both brothers and assassins, boys grown to men in a savage and hostile world. The Sisters brothers find themselves on a journey through the Northwest, bringing them to the mountains of Oregon, a dangerous brothel in the small town of Mayfield, and eventually, the gold rush land of California -- an adventure that tests the deadly family ties that bind.","Comedy, Drama",2018-10-19
7077,m/goal_2_living_the_dream,Goal II: Living the Dream,"The soccer career of Santiago Muñez (Kuno Becker) continues as he gets a chance to move from the English club Newcastle to the famous ""Galacticos"" team, Real Madrid, joining superstars such as Ronaldo, Zinedine Zidane and David Beckham. His move is a step forward professionally, but it also entails personal drama as Muñez, engaged to British nurse Roz (Anna Friel), fends off the advances of TV presenter Jordana (Leonor Varela) and discovers the truth about the mother who had abandoned him.",Drama,2007-02-09
11693,m/pay_it_forward,Pay It Forward,"The story of a social studies teacher who gives an assignment to his junior high school class to think of an idea to change the world for the better, then put it into action. When one young student creates a plan for ""paying forward"" favors, he not only affects the life of his struggling single mother, but he sets in motion an unprecedented wave of human kindness which, unbeknownst to him, has blossomed into a profound national phenomenon.","Drama, Romance",2000-10-20
13223,m/shine,Shine,"As a child piano prodigy, David Helfgott's (Geoffrey Rush) musical ambitions generate friction with his overbearing father, Peter (Armin Mueller-Stahl). When Helfgott travels to London on a musical scholarship, his career as a pianist blossoms. However, the pressures of his newfound fame, coupled with the echoes of his tumultuous childhood, conspire to bring Helfgott's latent schizophrenia boiling to the surface, and he spends years in and out of various mental institutions.","Drama, Musical & Performing Arts",1996-11-20
17439,m/wish_upon,Wish Upon,"Jonathan Shannon (Ryan Phillippe) gives his 17-year-old daughter Clare (Joey King) an old music box that promises to grant its owner seven wishes. Skeptical at first, Clare becomes seduced by its dark powers when her life starts to radically improve with each wish. Everything seems perfect until she realizes that every wish she makes causes the people who are closest to her to die in violent and elaborate ways.",Horror,2017-07-14
314,m/1002352-big_sleep,The Big Sleep,"Private investigator Philip Marlowe (Humphrey Bogart) is hired by General Sternwood to help resolve the gambling debts of his wild young daughter, Carmen (Martha Vickers). Sternwood's older daughter, Vivian (Lauren Bacall), provides assistance when she implies that the situation is more complex, and also involves casino owner (John Ridgely) and a recently disappeared family friend. As people linked to the Sternwoods start being murdered, Marlowe finds himself getting ever deeper into the case.","Classics, Drama, Mystery & Suspense",1946-08-31
9995,m/mama_2013,Mama,"On the day that their parents die, sisters Lilly and Victoria vanish in the woods, prompting a frantic search by their Uncle Lucas (Nikolaj Coster-Waldau) and his girlfriend, Annabel (Jessica Chastain). Five years later, miraculously, the girls are found alive in a decaying cabin, and Lucas and Annabel welcome them into their home. But as Annabel tries to reintroduce the children to a normal life, she finds that someone -- or something -- still wants to tuck them in at night.","Art House & International, Horror",2013-01-18
7375,m/gunnin_for_that_1_spot,Gunnin' for That #1 Spot,"Rucker Park in New York City's Harlem has been host to many legends, such as Wilt Chamberlain and Kareem Abdul-Jabbar. Now, the top high-school basketball players in America will assemble on the same court to compete in the first annual ""Elite 24"" all-star game, which is seen as a good measure of a player's NBA potential. This documentary trails eight of the teens as -- preparing to become champions -- they demonstrate the required dedication that accompanies a swift rise to greatness.","Documentary, Sports & Fitness",2008-06-27
3969,m/brave_2012,Brave,"Merida (Kelly Macdonald), the impetuous but courageous daughter of Scottish King Fergus (Billy Connolly) and Queen Elinor (Emma Thompson), is a skilled archer who wants to carve out her own path in life. Her defiance of an age-old tradition angers the Highland lords and leads to chaos in the kingdom. Merida seeks help from an eccentric witch (Julie Walters), who grants her an ill-fated wish. Now, Merida must discover the true meaning of courage and undo a beastly curse before it's too late.","Animation, Comedy, Kids & Family",2012-06-22
9919,m/madagascar_escape_2_africa,Madagascar: Escape 2 Africa,"Alex (Ben Stiller), Morty (Chris Rock) and other zoo animals find a way to escape from Madagascar when the penguins reassemble a wrecked airplane. The precariously repaired craft stays airborne just long enough to make it to the African continent. There the New Yorkers encounter members of their own species for the first time. Africa proves to be a wild place, but Alex and company wonder if it is better than their Central Park home.","Action & Adventure, Animation, Comedy, Kids & Family",2008-11-07
7402,m/hair,Hair,"In New York City for the first time while on his way to enlist in the U.S. Army during the Vietnam War, Oklahoma farm hand Claude Hooper Bukowski (John Savage) meets up with a freewheeling group of Central Park hippies led by the irrepressible George Berger (Treat Williams). When the unlikely friends meet upper-middle-class debutante Sheila Franklin (Beverly D'Angelo), sparks fly between the country boy and the city girl, and Berger's troupe attempts to keep the young lovers together.","Comedy, Drama, Musical & Performing Arts",1979-03-14
1634,m/1191742_changeling,Changeling,"In 1928 Los Angeles, single mother Christine Collins (Angelina Jolie) arrives home to find her son, Walter, gone. Five months later her prayers are answered when Walter is found in Illinois. But to Christine's horror, the boy who steps off the train is not her son. Authorities vehemently dispute Christine's claim, and her one ally is a clergyman (John Malkovich) who sees the case as his chance to expose corruption in the Los Angeles Police Department and government.","Drama, Mystery & Suspense",2008-10-24
8864,m/justin_biebers_believe,Justin Bieber's Believe,"Filmmaker Jon M. Chu moves beyond the spotlight and the attention-grabbing headlines to give pop superstar Justin Bieber a chance to tell his own story. New interviews with the teenage phenomenon reveal long-awaited answers about his passion for making music, his relationships, and coming of age in the public eye. Chu also includes new concert footage, behind-the-scenes access, and special appearances by manager Scooter Braun, and singers Usher, Ludacris and others.","Documentary, Drama, Musical & Performing Arts",2013-12-25
1077,m/1069339-restoration,Restoration,"In order to keep one of his mistresses, Celia (Polly Walker), at arm's length, King Charles II (Sam Neill) asks the royal physician, Robert Merivel (Robert Downey Jr.), to marry her under the proviso that they never become intimate. Merivel agrees, only to discover he can't resist Celia, and soon finds himself out of the king's favor. Destitute, he devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman, Katherine (Meg Ryan).","Drama, Romance",1996-02-02
8204,m/illegal_tender,Illegal Tender,"Wilson De Leon Jr. (Rick Gonzalez) is a young man with a bright future; he is enrolled in college, and has a mother (Wanda De Jesus) and girlfriend who adore him. When an enemy from his mother's past tracks them down, Wilson and his mother must join forces to protect their loved ones and avenge the murder of his father.","Drama, Mystery & Suspense",2007-08-24
10199,m/max_dugan_returns,Max Dugan Returns,"Aging con artist Max Dugan (Jason Robards) never spent much time with his family, but when he learns that he is fatally ill, he chooses to visit his daughter, Nora (Marsha Mason). Now an adult with a son of her own, Nora hasn't seen much of her father since she was a young child. Her son, Michael (Matthew Broderick), who has never met Max, takes an immediate liking to his grandfather; however, Nora's new boyfriend, Brian (Donald Sutherland), a police officer, is suspicious of the old man.","Comedy, Drama",1983-03-25
7577,m/headhunters,Headhunters,"A corporate recruiter (Aksel Hennie), who moonlights as an art thief, plans to steal a valuable painting from the perfect candidate (Nikolaj Coster-Waldau) for a job he needs to fill.","Action & Adventure, Art House & International, Mystery & Suspense",2012-04-27
8819,m/jungle_2_jungle,Jungle 2 Jungle,"Manhattan broker Michael Cromwell (Tim Allen) is engaged to fiancée Charlotte (Lolita Davidovich) but needs a divorce from his estranged wife, Patricia (JoBeth Williams), who's been living in the Amazon with a native tribe for years. Michael travels to the Amazon and discovers he has a son: Teen Mimi-Siku (Sam Huntington), who begs to be taken to the city to fulfill a quest for his tribe. At first, things don't go so smoothly for the kid from the jungle, but soon the boy and his dad bond.","Comedy, Kids & Family",1997-03-07
3268,m/battleship_potemkin,Battleship Potemkin,"When they are fed rancid meat, the sailors on the Potemkin revolt against their harsh conditions. Led by Vakulinchuk (Aleksandr Antonov), the sailors kill the officers of the ship to gain their freedom. Vakulinchuk is also killed, and the people of Odessa honor him as a symbol of revolution. Tsarist soldiers arrive and massacre the civilians to quell the uprising. A squadron of ships is sent to overthrow the Potemkin, but the ships side with the revolt and refuse to attack.","Art House & International, Classics, Drama",1925-12-24
6053,m/epic_2013,Epic,"Mary Katherine (Amanda Seyfried), or M.K., is a headstrong, spirited teenager who has a strained relationship with her father (Jason Sudeikis). She loses patience with her dad's tales of unseen people who live in the woods, but when she is magically transported to that mythic realm, she gains new perspective. M.K. joins a race of beings known as the Leafmen in their battle to protect their queen (Beyoncé Knowles) from their enemies, evil Mandrake (Christoph Waltz) and his crew of Boggans.","Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",2013-05-24
15890,m/the_taste_of_money,The Taste of Money,"The assistant of a wealthy socialite reveals her husband's salacious affair. The fallout entangles him in a web of sex, love and deceit that could threaten his life and career.","Art House & International, Drama",2013-01-25
14569,m/the_beast_with_five_fingers,The Beast With Five Fingers,"Astrologist Hilary Cummins (Peter Lorre) works as a personal assistant to the eccentric and mostly paralyzed pianist, Francis Ingram (Victor Francen). A nurse, Julie Holden (Andrea King) also lives at the Italian villa to help care for Ingram, who plays the piano with only his undamaged left hand. Following a visit from a scam artist (Robert Alda), Ingram crashes down the stairs to his death -- and a plague of bizarre events ensues that are attributed to the musician's disembodied left hand.","Classics, Horror",1946-01-01
10985,m/never_say_never_again,Never Say Never Again,"An aging James Bond (Sean Connery) makes an uncharacteristic mistake during a routine training mission, leading M (Edward Fox) to believe that the legendary British Intelligence spy is now past his prime. M indefinitely suspends Bond from active duty. However, when SPECTRE member Fatima Bush (Barbara Carrera) and her fellow terrorists successfully steal two nuclear missiles from the U.S. military, M must reinstate Bond, as he is the only agent who can beat SPECTRE at their own game of espionage.","Action & Adventure, Mystery & Suspense",1983-10-07
12711,m/rosencrantz_and_guildenstern_are_dead,Rosencrantz and Guildenstern Are Dead,"Rosencrantz (Gary Oldman) and Guildenstern (Tim Roth) ramble obliviously through Elsinore Castle and its environs as the events of William Shakespeare's ""Hamlet"" unfold around them. While visiting their old friend Hamlet (Iain Glen), the pair engage in an ongoing philosophical debate about free will versus predestination, each trying to prove absurd positions through misbegotten experiments. Meanwhile, the clueless friends attempt to make sense of the peculiar goings-on in the castle.","Art House & International, Comedy, Drama",1991-02-08
16837,m/vanishing_on_7th_street,Vanishing On 7th Street,"Darkness empties Detroit, except for a few people (Hayden Christensen, Thandie Newton) who band together to battle it with light.","Horror, Mystery & Suspense",2011-02-18
4391,m/cautiva,Cautiva,"In 1994 Argentina, Cristina Quadri (Bárbara Lombardo), a teen from a well-to-do family, leads a charmed life. But when she's summoned in front of a judge one day, she learns the shocking truth of her real parents' disappearance during Argentina's ""Dirty War"" of the 1970s. Her actual name is Sofía Lombardi, and now she must live with her real grandmother (Susana Campos), a total stranger. With her life forever changed, Cristina works to uncover the deceit that for years kept her from the truth.","Art House & International, Drama",2006-12-08
6331,m/fat_city,Fat City,"Washed-up boxer Tully (Stacy Keach) is inspired to restart his career after seeing potential in a teenager, Ernie (Jeff Bridges), whom he spars with at a gym. While Tully battles his past demons, including issues with alcohol, Ernie faces his own challenges. Pressured into marriage and sudden fatherhood by his girlfriend (Candy Clark), Ernie can shrug off his personal problems when he enters the ring. As both fighters continue with their bouts, Tully's star falls while Ernie's is on the rise.","Classics, Drama",1972-07-26
6834,m/funny_lady,Funny Lady,"In this sequel to ""Funny Girl,"" Fanny Brice (Barbra Streisand) is now a huge star on Broadway whose fortunes have taken a hit from the Great Depression. After a whirlwind romance, Fanny marries Billy Rose (James Caan), and the two agree to collaborate on a show. Despite the show's early struggles, Fanny makes it a success, but the sudden fame puts a strain on her marriage -- especially when Billy learns she still has feelings for her ex-husband, Nick (Omar Sharif).","Classics, Comedy, Drama, Musical & Performing Arts, Romance",1975-03-07
9940,m/madman_1981,Madman,"At a summer camp in the woods, Max (Carl Fredericks), one of the counselors, decides to regale the campers and other counselors with a frightening tale of a local serial killer, Madman Marz (Paul Ehlers). As the story goes, if his name is uttered above a whisper, he will return to the area to kill. Unimpressed and unafraid, an impudent teen, Richie (Jimmy Steele), feels compelled to test the legend -- despite the deadly consequences. Within moments, Madman Marz is back again for blood.","Action & Adventure, Horror",1981-01-01
